List Price,Sale Price,Age,Sq Ft Total,Lot Size,Listing Date,Sale Date,Close Date,DOM,Zip Code,Original List Price,Year Built,Lot Size,BathsTotal,BedsTotal,BathsFull,BathsHalf
4285000,4500000,1,2943,7594,5/5/2023,5/8/2023,5/22/2023,3,94041,4285000,2022,7594,5,4,4,1
3995000,3995000,0,2762,5194,10/4/2022,10/13/2022,10/20/2022,9,94041,3995000,2022,5194,5,4,3,2
3688888,3888000,0,2555,8647,9/28/2022,10/7/2022,11/3/2022,9,94041,3688888,2022,8647,3,5,3,0
3388000,3610000,0,2344,6240,5/10/2023,5/18/2023,8/9/2023,8,94041,3388000,2023,6240,4,5,3,1
3488000,3600000,51,2372,8160,9/13/2022,10/5/2022,11/4/2022,22,94041,3788000,1971,8160,4,4,3,1
3350000,3285000,68,1691,5780,9/1/2022,9/10/2022,10/12/2022,9,94040,3350000,1954,5780,2,3,2,0
3175000,3250000,67,2597,9581,6/21/2023,7/7/2023,8/7/2023,16,94041,3175000,1956,9581,3,4,2,1
3250000,3250000,7,2018,5696,4/14/2023,4/23/2023,7/14/2023,9,94043,3000000,2016,5696,4,4,3,1
2898000,3141592,15,2318,6843,1/31/2023,2/8/2023,2/28/2023,8,94041,2898000,2008,6843,3,5,3,0
2788000,3100000,86,1535,6879,9/21/2022,9/25/2022,10/24/2022,4,94041,2788000,1936,6879,2,3,2,0
3258000,3100000,68,1785,6380,8/15/2022,8/30/2022,9/29/2022,15,94040,3258000,1954,6380,2,3,2,0
3200000,3050000,14,2250,4104,6/15/2023,7/3/2023,7/28/2023,18,94040,3200000,2009,4104,3,4,2,1
2995000,2968505,117,2619,6450,4/20/2023,5/14/2023,6/13/2023,24,94041,2995000,1906,6450,3,4,3,0
2598000,2910000,99,1836,8609,4/3/2023,4/11/2023,4/20/2023,8,94041,2598000,1924,8609,2,4,2,0
2888000,2900000,71,1494,5210,6/6/2023,6/15/2023,6/28/2023,9,94040,2888000,1952,5210,2,4,2,0
2770000,2770000,18,2417,4920,7/20/2023,7/20/2023,7/20/2023,0,94040,2770000,2005,4920,4,3,3,1
